2026-04-14 18:24:01 | INFO | crawler.main | 게시판 수집 시작: 학사공지
2026-04-14 18:24:02 | INFO | crawler.main | [학사공지] 목록 파싱 완료: page=1, collected=20
2026-04-14 18:24:02 | INFO | crawler.main | [학사공지] 중복 제거 후 상세 URL 수: 20
2026-04-14 18:24:02 | INFO | crawler.main | [학사공지] 상세 수집 중 (1/20): https://kau.ac.kr/kaulife/acdnoti.php?searchkey=&searchvalue=&code=s1201&page=1&mode=read&seq=10389
2026-04-14 18:24:03 | INFO | crawler.main | [학사공지] 상세 수집 중 (2/20): https://kau.ac.kr/kaulife/acdnoti.php?searchkey=&searchvalue=&code=s1201&page=1&mode=read&seq=10407
2026-04-14 18:24:03 | INFO | crawler.main | [학사공지] 상세 수집 중 (3/20): https://kau.ac.kr/kaulife/acdnoti.php?searchkey=&searchvalue=&code=s1201&page=1&mode=read&seq=5041
2026-04-14 18:24:04 | INFO | crawler.main | [학사공지] 상세 수집 중 (4/20): https://kau.ac.kr/kaulife/acdnoti.php?searchkey=&searchvalue=&code=s1201&page=1&mode=read&seq=10044
2026-04-14 18:24:05 | INFO | crawler.main | [학사공지] 상세 수집 중 (5/20): https://kau.ac.kr/kaulife/acdnoti.php?searchkey=&searchvalue=&code=s1201&page=1&mode=read&seq=10388
2026-04-14 18:24:06 | INFO | crawler.main | [학사공지] 상세 수집 중 (6/20): https://kau.ac.kr/kaulife/acdnoti.php?searchkey=&searchvalue=&code=s1201&page=1&mode=read&seq=7334
2026-04-14 18:24:07 | INFO | crawler.main | [학사공지] 상세 수집 중 (7/20): https://kau.ac.kr/kaulife/acdnoti.php?searchkey=&searchvalue=&code=s1201&page=1&mode=read&seq=10488
2026-04-14 18:24:08 | INFO | crawler.main | [학사공지] 상세 수집 중 (8/20): https://kau.ac.kr/kaulife/acdnoti.php?searchkey=&searchvalue=&code=s1201&page=1&mode=read&seq=10378
